slug,title,date,Cost code, Invoiced Amount ,Invoice ,Year,link,blurb,
NewFriars,The Lake of Secrets, 21st December-2018,Yvonne, £ 600.00 ,5,2018,https://www.amazon.co.uk/Lake-Secrets-T-M-Cooks/dp/1793405824/ref=sr_1_31?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-31&text=T.M.+Cooks,"A mysterious island came out of nowhere, with a shack shining and glowing red, covered by fog. People from the town try to find out what’s going on. When they reach the island, things will never be the same again!",
NewVic2018,Grimm State of Mind, 22nd September,Yvonne, £ 600.00 ,5,2018,https://www.amazon.co.uk/Grimm-State-Mind-T-Cooks/dp/1977579574/ref=sr_1_81?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-81&text=T.M.+Cooks,"The October half-term is as always wet and grey, but for a group of teenagers thrown together on a drama project, it’s a time to discover who they are, and find a way to take their next steps in a world filled with uncertainty. Each have their own ‘backstories’ and motivation and like the characters they play, must find a way of letting go and moving on. It’s Wednesday already and the performance will take place on Friday evening. Dylan’s mum is in hospital and he’s only doing this because she wants him to. Doris has been given a week respite by her newly appointed social worker, and Damon has only joined in the project to work off the cost of replacing the plate glass he smashed at the theatre. Patricia and Delius are as usual palmed off anywhere that is handy for their parents. Somehow they must pull together to form the ‘Hansel and Gretel’ company and create the best performance yet for their director Anthony. There is a deeper and more mysterious narrative played out on stage. Obsessions and tragedy, both unseen and unspoken, and the ‘Magic of Theatre’ grips the very heart of the production. The startling similarities of protagonists and Director are interwoven in this narrative delight. What is happening to the Towns of Stoke-On-Trent? How are Anthony’s obsessions affecting the real world. Who are the unseen? And will the characters on stage resolve their own inner conflicts. The curtain calls....What wonder lurks behind?",
OrmMeridian2018,Time Will Tell, 25-January 2015,HH, £ 600.00 ,inv2018_82,2018,https://www.amazon.co.uk/Time-Will-Tell-T-M-Cooks/dp/1722032529/ref=sr_1_45?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-45&text=T.M.+Cooks,,
Paget2018,Matches, 11-May-2018,HH, £ 600.00 ,inv2018_80,2018,https://www.amazon.co.uk/Matches-T-M-Cooks/dp/1720543879/ref=sr_1_50?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-50&text=T.M.+Cooks,"A young prospect, the best in his league, on the verge of his dream career, a devastating diagnosis smashes it to pieces. His friend is sent on a road trip, picking up strangers on the way, each with their own stories, different paths, but one destination. Do they all get what they want?",
Paget2018B,When the Party's Over, 7-December-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/When-Partys-Over-T-M-Cooks/dp/1790910463/ref=sr_1_33?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-33&text=T.M.+Cooks,"Hannah Ashton is invited to one of the biggest parties in town, where she will be faced with a difficult situation. She has to make a decision - when the party's over will she stay or leave?",
Paulet2018,Silence in the Woods, 29-March-2018,HH, £ 600.00 ,inv2018_80,2018,https://www.amazon.co.uk/Silence-Woods-T-M-Cooks/dp/1986972003/ref=sr_1_57?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-57&text=T.M.+Cooks,"Aliens have landed and Earth will never be the same again. Friends go missing, a lady loses her companion, a retired police officer finds love. Will the woods ever be silent again?",
Shaftsbury2018,Mystery of the magic portal,,Yvonne, £ 600.00 ,inv2018_83,2018,https://www.amazon.co.uk/Mystery-Magic-Portal-T-M-Cooks/dp/1721928383/ref=sr_1_46?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-46&text=T.M.+Cooks,"There's a mystery, a secret, for only the bravest people or creatures to uncover. A journey of betrayal, friendship and many other things. Meet the heroes and the villains in the most secret of classrooms. You will meet mysterious werewolves, evil villains, baby and adult zombies and even a vampire! Can you uncover the mystery of the secret classroom?",
SMW2018,The Loved  and  Lost, 26-October-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Loved-Lost-T-M-Cooks/dp/1729750192/ref=sr_1_37?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-37&text=T.M.+Cooks,"A struggling Lu trying to find meaning in a world of confusion. After his turbulent childhood, what path does he take?",
StPeter2018,Among Us, 23rd March-2018,HH, £ 600.00 ,inv2018_80,2018,https://www.amazon.co.uk/Among-Us-T-M-Cooks/dp/1986844633/ref=sr_1_58?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-58&text=T.M.+Cooks,Nine involved. Three dead. One missing. One murderer. ...But who?,
SUA2018,The Protocol XIII, 15-June-2018,HH, £ 600.00 ,inv2018_82,2018,https://www.amazon.co.uk/Protocol-XIII-T-M-Cooks/dp/1722058552/ref=sr_1_44?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-44&text=T.M.+Cooks,"In 2040, the world is corrupted and decayed. Nothing seems like it will ever be the same. The only hope is a team of strong-willed kids, a chubby middle-aged sheriff and a mentally scarred scientist. Can they save the world from itself; an emerging army of braindead slates and a psychotic dictator who’s hidden within the shadows, whispering in the ear of the depraved government?",
SUA2018B,Forbidden Love, 14-December-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Forbidden-Love-T-M-Cooks/dp/1791698670/ref=sr_1_32?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-32&text=T.M.+Cooks,"In an established factory - somewhere deep in the West-Midlands of England, where a unique combination of a ground-breaking malfunction and coincidental timing results in a strange robotic anomaly to occur, potentially changing society. When a twisted love arises, there is a country-collapsing chain of events, which force all involved with the AI to encounter a very demanding decision.Despite a corrupt hierarchy, it will be up to the public democracy to decide the future…",
TeamUnited,Were is She?, 24-January-2018,Yvonne, £ 600.00 ,5,2018,https://www.amazon.co.uk/Where-She-T-M-Cooks/dp/1726396576/ref=sr_1_38?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-38&text=T.M.+Cooks,"In a deep, dark jungle where the talking animals roam, two girls are lost and trying to get home. The Dark Master wants the enchanted stone, the girls just want to get home. What will happen...",
TGS2018TeamA,Punishment is Justice, 23rd March-2018,SHINE,,,2018,https://www.amazon.co.uk/Punishment-Justice-T-M-Cooks/dp/1986815870/ref=sr_1_60?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-60&text=T.M.+Cooks,"Sisters of Virgin Mary Kansas is a nunnery filled with ordinary highly religious nuns. However, when the priest is murdered, everything comes crashing down. A relationship is torn apart after abuse from a father. You thought the church was safe, but think again. What secrets are those statues hiding? There are many court cases but what really is the verdict? Remember God is always watching you...",
TGS2018TeamB,His Mind,,SHINE,,,2018,https://www.amazon.co.uk/His-Mind-World-T-Cooks/dp/1986815951/ref=sr_1_59?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-59&text=T.M.+Cooks,"“Alone, exposed to all danger, time stops” A world where nothing quite makes sense. Nothing quite adds up. One slip up causes everything to fall apart. Nothing stays the same. People who should be dead are alive and people who should be alive are dead. Worlds are turned upside down, friendships torn apart, relationships formed. Who knows what lies beneath this thrilling, exhilarating mystery we call: His Mind, His World.",
theoaks2018,The Other Side, 20-April-2018,HH, £ 600.00 ,inv2018_82,2018,https://www.amazon.co.uk/Other-Side-T-M-Cooks/dp/1717233619/ref=sr_1_55?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-55&text=T.M.+Cooks,Two worlds were about to collide... sending both into chaos. Can anyone save them or are they left to this terrible fate? Explore a world similar to our own. An adventure that holds wonders you could never imagine.,
